Skills	Topics	Sub Topics
GIT Basics	Introduction to Version Control	Version Control Concepts-Definition and Purpose, Benefits of Version Control, Types of Version Control Systems
	Understanding Git	What is Git-Introduction to Git, Git as a Distributed Version Control System (DVCS); Git Components-Working Directory, Staging Area, Repository
	Setting Up Git	Installing Git-Download and Installation Steps, Configuring Basic Settings (username, email); Creating a Git Repository-Initializing a New Repository, Cloning an Existing Repository; 
	Basic Git Commands	git init and git clone - Initializing a New Repository, Cloning an Existing Repository; git add-Staging Changes, Using Wildcards; git commit-Committing Changes, Adding Commit Messages; git status-Checking the Status of Your Repository; git log-Viewing Commit History, Options for Customizing Log Output;
	Branching and Merging	Introduction to Branching-Creating and Managing Branches, Switching Between Branches; Merging Changes-Merging Branches, Handling Merge Conflicts; Branching Strategies-Feature Branching, Release Branching, Git Flow Workflow;
	Remote Repositories	Adding Remote Repositories-Linking Local and Remote Repositories, Multiple Remotes; git pull and git push-Pulling Changes from a Remote Repository, Pushing Changes to a Remote Repository; Handling Remote Branches-Tracking and Creating Remote Branches;
	Collaborating with Git	Forking and Pull Requests-Forking a Repository, Creating and Managing Pull Requests; Git Collaboration Workflows-Centralized Workflow, Feature Branch Workflow, Forking Workflow, Gitflow Workflow
CI/CD Fundamentals	Introduction to CI/CD	What is CI/CD?, Benefits of CI/CD, CI/CD Pipeline Overview
	Continuous Integration (CI)	Source Code Management (SCM), Automated Builds, Automated Testing in CI, Code Quality and Static Analysis, Build Triggers and Notification Systems
	Continuous Delivery (CD)	Concepts of Continuous Delivery, Deployment Strategies, Artifact Management, Environment Management, Automated Deployment Process
	Continuous Deployment 	Understanding Continuous Deployment, Release Automation, Monitoring and Logging Post-Deployment, Feature Flags and A/B Testing
HTLM5	Introduction	Need and Benefits of HTML, Setup, Browser, BOM and DOM, DOCTYPE, Character Encoding, <script> , <link>, , HTML5 Document, Comments
	Getting Started	Visual Studio Code features, Google Chrome Developer tools, Inspect document
	Elements & Attributes	Formatting Tags, List, Table, Form & Input Tags, Images, Styles, placeholder, inline and block elements, id vs class attributes
	Navigation	Navigation tags, hyper link, reference to intermediate section
	Events	onblur, onchange, onclick, form related events, load events, key events, mouse events, ondblclick, onbeforeonload, oncanplay
	Web Forms 2.0	<input> element in HTML5,  <output>, placeholder attribute, autofocus, required
	Web Storage	Session storage, local storage and Delete web storage
	Web SQL Database	openDatabase, transaction, transaction
	Geo location	Geolocation Methods, Location Properties, Handling Errors, Position Options
CSS3	Introduction	Need and Benefits of CSS, Setup, CSS Syntax, CSS Comments, Including CSS in HTML Documents(Inline styles, Embedded styles, External style sheets)
	Selectors	CSS3 Selectors - Universal Selector, Element Type Selector, Id Selectors, Class Selectors, Grouping Selectors
	Styling	CSS Color, CSS Background, CSS Fonts, CSS Text, CSS Links, CSS Lists, CSS Tables
	Box Model	CSS Box Model, Margin, padding, border, Outline, Visibility vs. Display, Multiple Columns
	Advanced	Media Queries, RWD
JavaScript	Introduction to JavaScript	What is JavaScript?, Setting Up JavaScript Development Environment
	JavaScript Basics	Syntax and Statements, Data Types, Operators
	Control Flow	Conditional Statements, Loops, Error Handling
	Functions and Scope 	Function Basics, Scope and Closures, Higher-Order Functions
	Objects and the Document Object Model (DOM) 	Objects in JavaScript, JavaScript Prototypes, The DOM, Event Handling
	Arrays and Array Methods	Array Basics, Array Methods
	Asynchronous JavaScript	Understanding Asynchronous Programming, Callbacks and Callback Hell, Promises, Async/Await Syntax
	JavaScript ES6+ Features	Let and Const, Template Literals, Destructuring, Rest and Spread Operators, Modules, Default Parameters
	JavaScript in Web Development	Working with Forms, AJAX and Fetch API
	Debugging and Testing JavaScript	Debugging Tools, Testing JavaScript Code
	Introduction to JavaScript Frameworks and Libraries	Overview of Popular JavaScript Frameworks, Using jQuery for DOM Manipulation
Bootstrap 5	Introduction to Bootstrap 5	Overview of Bootstrap Framework, Setting Up Bootstrap 5, Bootstrap Structure and Files
	Bootstrap Grid System	Fundamentals of Responsive Grid Layout, Column Layouts and Grid Classes, Alignment and Reordering in Grid, Responsive Flexbox Utilities
	Bootstrap Components	Typography, Forms, Buttons, Navbars and Navigation, Cards and Media Objects
	Bootstrap Utilities and Helpers	Spacing Utilities, Colors and Backgrounds, Display and Visibility, Borders, Shadows, and Rounded Corners, Positioning Utilities
	Advanced Bootstrap 5 Features	Icons with Bootstrap Icons, Bootstrap 5 JavaScript Plugins, Customization with Sass
jQuery	Introduction to jQuery and its Features	What is jQuery?, Features of jQuery
	Basic Components of jQuery	jQuery Library Inclusion, The $() Function, jQuery Methods
	DOM Manipulation and Events in jQuery	DOM Manipulation, Working with Events, Event Helpers
ANSI SQL Using MySQL	Introduction to ANSI SQL and MySQL	Overview of ANSI SQL, Introduction to MySQL, Importance of Standard SQL
	Data Retrieval with SELECT Statement	Basic SELECT syntax, Retrieving specific columns, Filtering data with WHERE clause, Sorting results with ORDER BY
